pmid,outcome,labels,full_text_attributes
30400840,"['Cognitive testing performances', 'Go-/No-Go test performance', 'Self-perceived cognitive functioning', 'Serum levels of pro- and antiinflammatory markers', 'Serum levels of neurotrophic and growth factors', 'Common cancer-related side effects']","['Clinical', 'Clinical', 'Life impact', 'Clinical', 'Clinical', 'Adverse Event']",{}
30395904,"['Primary endpoint: adverse event profiling', 'cough', 'shortness of breath', 'lung cancer symptoms', 'dyspnea with walking and climbing stairs', 'better overall quality of life']","['Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Life impact']","{'Primary endpoint: adverse event profiling': ['grade 3 or higher hypotension, acute kidney injury, allergic reaction (ie, medication-induced cough), or anaphylaxis (medication-related angioedema) during and up to 3 months following RT', 'grade 2 acute kidney injury (P=.20)', 'grade 4 dyspnea'], 'cough': ['P=.26 for incidence of grade 2 hypotension between placebo and lisinopril'], 'shortness of breath': ['mean [SD], 42.0 [27.8] vs 77.5 [23.8]; P=.006 for dyspnea score on the LCSS, indicating less pulmonary distress in lisinopril patients', 'more shortness of breath in the placebo arm', 'at week 4, the lung cancer symptom subscale and total LCSS scores appeared to be higher for patients taking lisinopril'], 'dyspnea with walking and climbing stairs': ['mean [SD], 42.0 [27.8] vs 77.5 [23.8]; P=.006 for dyspnea score on the LCSS, indicating less pulmonary distress in lisinopril patients', 'grade 4', 'less dyspnea symptoms in climbing stairs in the lisinopril arm', 'patients taking lisinopril appeared to have better scores (all P≤.02)'], 'better overall quality of life': ['higher score on LCSS reflected greater quality of life', 'may have better QOL and cardiopulmonary reserve during RT and medication use periods', 'higher levels of social and family functional well-being, higher levels of lung-specific symptom subscale, and higher overall scores at selected time points']}"
30392115,"['Progression-free survival', 'Adverse events (neutropenia)', 'Pharmacokinetics (palbociclib trough concentration)']","['Clinical', 'Adverse Event', 'Clinical']","{'Progression-free survival': ['11.2 months (95% CI, 9.5–12.9)', '4.6 months (95% CI, 3.5–5.6)', '13.6 months (95% CI, 7.5–NE)', '11.2 months (95% CI, 5.6–NE)', 'HR, 0.50; P < 0.001', 'HR, 0.82; P = 0.339'], 'Pharmacokinetics (palbociclib trough concentration)': ['geometric mean of within-patient mean Ctrough: 84.4 ng/mL'], 'Adverse events (neutropenia)': ['93% vs 79% of patients', 'n = 9, 33%', 'correlation coefficient = 0.508']}"
30389760,"['adverse events monitoring', 'quality of life', 'resource use data']","['Adverse Event', 'Life impact', 'Resource use']",{}
30386984,"['morbidity and mortality within 30 postoperative days', '3-year disease-free survival']","['Mortality', 'Mortality']","{'morbidity and mortality within 30 postoperative days': ['13.1% vs. 17.7%', 'P = 0.174']}"
30381011,"['Quantities of natural killer (NK) cells', 'Serum levels of tumor necrosis factor-α (TNF-α) and interleukin-6 (IL-6)', 'Mean arterial pressure (MAP) and heart rate (HR)', 'Intraoperative consumption of propofol and remifentanil', 'Incidence of hypoxemia', 'postoperative nausea and vomiting (PONV)', 'length of hospital stay']","['Clinical', 'Clinical', 'Clinical', 'Resource use', 'Adverse Event', 'Adverse Event', 'Resource use']","{'Quantities of natural killer (NK) cells': ['31.45 [3.87] vs 31.55 [3.24], P = .237'], 'Mean arterial pressure (MAP) and heart rate (HR)': ['The MAPs and HRs in both groups were similar at T0 (P > .05). Compared to T0, the MAPs and HRs were significantly increased at T1to T5 in group sham TEAS (P < .05). However, in group TEAS, there were no statistically significant differences in the MAPs and HRs between time points (P > .05), and the MAPs and HRs at T1to T5 in group TEAS were lower than those in group sham TEAS (P < .05; Figure 4A and B).'], 'Intraoperative consumption of propofol and remifentanil': ['Total propofol (P = .002) and remifentanil (P = .028) consumption were lower in group TEAS than that in group sham TEAS.'], 'Incidence of hypoxemia': ['The incidence of neither hypoxemia (P = .872) nor'], 'postoperative nausea and vomiting (PONV)': ['PONV in the PACU (P = .437) differed significantly between the 2 groups.'], 'length of hospital stay': ['the length of hospital stay in group TEAS was shorter than that in group sham TEAS (P = .014; Table 2).']}"
30376857,"['Minutes moderate-to-vigorous PA (MVPA)', 'Days ≥30 min PA', 'Self-reported PA', 'Fatigue', 'Distress', 'Quality of life', 'Physical functioning', 'Depression']","['Clinical', 'Life impact', 'Life impact', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Depression': ['significantly higher baseline score for the intervention group (p = .01)', 'decrease (B = − 0.64, p = .005)', '−1.17 (p = .004)', '-0.44 (p = .10)'], 'Minutes moderate-to-vigorous PA (MVPA)': ['B = 133.55, p = .04', 'B = 267.17, p < .001', 'The intervention was effective at increasing PA in colorectal cancer participants (B = 355.23, p = .001, ES = 0.53), but not in prostate cancer participants (B = 20.33, p = .81, ES = 0.07). MVPA assessed with the ActiGraph at 6 months was moderated by education level (p = .06). OncoActive resulted in a significant increase in MVPA in participants with a medium education level (B = 106.85, p = .001, ES = 0.59), in a borderline significant increase for highly educated participants (B = 56.33, p = .06, ES = 0.42) and no increase for those with a low education (B = − 0.11, p = .99, ES = .03).'], 'Fatigue': ['B = −3.57, p = .02', 'decrease (B = − 4.16, p = .009)', 'At the 3 month follow-up fatigue was moderated by type of cancer (p = .04). Fatigue levels of colorectal cancer participants significantly decreased (B = − 6.88, p = .02, ES = − 0.31), whereas no significant decrease was found for prostate cancer participants (B = − 1.69, p = .34, ES = − 0.14).', '−12.70 (p = .007)', '-2.14 (p = .21)'], 'Quality of life': ['B = 0.18, p = .82'], 'Physical functioning': ['B = 2.61, p = .003', 'improvement (B = 1.86, p = .04)', 'Physical functioning at 3 months was also moderated by type of cancer (p = .003). Again, significant improvements were found for colorectal cancer participants (B = 6.32, p < .001, ES = 0.45), but not for prostate cancer participants (B = 0.77, p = .45, ES = 0.06).', '4.27 (p = .01)', '0.31 (p = .73)'], 'Days ≥30 min PA': ['B = 0.98, p < .001', 'B = 0.38, p = .05']}"
30376810,"['Cumulative LA PCEA bolus volumes until day 2', 'Overall LA consumption volumes', 'Pain scores']","['Clinical', 'Resource use', 'Clinical']","{'Cumulative LA PCEA bolus volumes until day 2': ['28 mL (12–64 mL)', '10 mL (2–28 ml)', 'p = 0.004'], 'Overall LA consumption volumes': ['329 mL (291–341.1 mL)', '350.3 mL (326.5–380.8 mL)', 'p = 0.01'], 'Pain scores': ['NRS value at rest, during cough, and during movement did not differ significantly between the CEI and PIEB groups for each given time point']}"
30371895,"['Overall survival (OS)', 'Radiographic progression-free survival (rPFS)', 'Adverse events']","['Mortality', 'Mortality', 'Adverse Event']","{'Radiographic progression-free survival (rPFS)': ['HR: 0.22; 95% CI: 0.09–0.56'], 'Overall survival (OS)': ['HR: 0.64; 95% CI: 0.15–2.66', 'P < 0.0001'], 'Adverse events': ['In the Japanese subgroup, CTCAE Grade 3 or 4 AEs were identified in 65.7% (23/35) of patients in the AAP group and 20% (7/35) in the placebo group; in the overall population, 63% (374/597) were in the AAP group and 48% (287/602) in the placebo.', 'The incidence of serious AEs in the Japanese subgroup was 17.1% (6/35) in the AAP group and 8.6% (3/35) in the placebo group; however, in the overall patients, the incidence between the AAP group and placebo group was similar (27.6% vs 24.3%, respectively).', 'The AEs leading to treatment discontinuation were reported in 5.7% (2/35) of patients in the AAP group and 11.4% (4/35) in the placebo group in Japanese subgroup and 10.1% (61/597) of patients in the AAP group and in 12.2% (73/602) in the placebo in overall patients.', 'Incidence of AEs of special interest, mineralocorticoid-related AEs such as hypertension and hypokalemia and corticosteroid AE (Grade 3 or 4) such as hyperglycemia (Grade 3), in the Japanese subgroup was higher in the AAP group versus the placebo group', 'In the overall population, a similar trend was observed only for Grade 3 or 4 hypertension and hypokalemia events', 'Fluid retention, edema and cardiac disorders (Grade 3 or 4) were not reported in the Japanese subgroup; however, in the overall population, five (0.8%) patients reported edema', 'Grade 3 hepatotoxicity (including ALT increased, AST increased and hepatic function abnormal) in the Japanese subgroup was reported in 8.6% (3/35) patients in AAP group versus 2.9% (1/35) patients in the placebo; in the overall population, the incidence was 7.7% (46/597) in the AAP group versus 3.3% (20/602) in the placebo', 'cerebral hemorrhage', 'cardiac disorders']}"
30369600,"[""FM perception that the patient's wishes were discussed, and met"", 'EoL care received', 'Patient satisfaction with care', 'FM satisfaction with care or with death', 'FM well being', 'Palliative care referral rates']","['Life impact', 'Resource use', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Patient satisfaction with care': ['67% of patients referred by oncologists met study inclusion criteria', 'percentage agreeing or strongly agreeing ranged from 69% to 91% for the 9 patient satisfaction items', 'OR = 1.2 for a 1 point increase on a scale from 0 to 24, 95% CI: 1.1 to 1.4, p = 0.004', 'p = 0.38'], 'FM satisfaction with care or with death': ['between 71% and 93% for the 9 FM satisfaction items'], ""FM perception that the patient's wishes were discussed, and met"": ['difference 10%; 95% CI: −2 to 8, p = 0.27', 'difference 18%, 95% CI: 0 to 36, p = 0.05', 'difference 1%, 95% CI: −14 to 16, p = 0.89'], 'Palliative care referral rates': ['Among the 85 patients with documented preferences for POD, there was a significant difference between groups in where patients wanted to die (p = 0.04)', '97% vs 96%; p = 0.81', 'nominated FM 49 [73%] vs 37 [48%], p = 0.002; and another health professional, 34 [52%] vs 16 [21%], p = 0.0001'], 'EoL care received': ['no differences between groups', 'Concordance between documented preferences and EoL care received defined as yes (preferences documented and complied with) vs no (preferences documented but not complied with/preferences not documented) was higher in the ACP arm for POD (49% vs 26%, p = 0.003); CPR (75% vs 23%, p < 0.0001); ICU admission (28% vs 11%, p = 0.008) and ventilation (49% vs 12%, p < 0.0001).', '20 [30%] vs 12 [16%], p = 0.04'], 'FM well being': ['greater improvement in mental well being from baseline to the bereavement interview in the usual-care group, p = 0.006']}"
30355464,"['overall survival', 'failure-free survival', 'progression-free survival', 'metastatic progression-free survival', 'prostate cancer-specific survival', 'symptomatic local event-free survival']","['Mortality', 'Mortality', 'Mortality', 'Clinical', 'Mortality', 'Clinical']","{'overall survival': ['median survival control group 46 months (IQR 27-not reached); 3-year survival 62%', 'median survival radiotherapy group 48 months (IQR 27-not reached); 3-year survival 65%', '3-year survival 73% with control vs 81% with radiotherapy'], 'failure-free survival': ['HR 0·59, 95% CI 0·49–0·72; p<0·0001', 'time to first new treatment after failure-free survival event'], 'prostate cancer-specific survival': ['sub-HR 0.94, 95% CI 0.81–1.10; robust p=0.431'], 'metastatic progression-free survival': ['sub-HR 0.65, 95% CI 0.47–0.90; robust p=0.010', '1.11, 0.92–1.33; robust p=0.279'], 'progression-free survival': ['HR 0.78, 95% CI 0.63-0.98; p=0.033'], 'symptomatic local event-free survival': ['42% (control group), 44% (radiotherapy group)', 'HR 1·07, 95% CI 0·93–1·22; p=0·349']}"
30353607,"['2-year overall survival', 'progression-free survival', 'locoregional failure-free survival', 'seriousness of acute treatment-related toxicities', 'cumulative rate of late rectal complications of grade 3-4', 'cumulative rate of grade 3 bladder complications']","['Mortality', 'Mortality', 'Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event']","{'2-year overall survival': ['80.3% (for the Fletcher group)', '86.3% (for the single‐channel group (P = 0.169))'], 'progression-free survival': ['77.5% (for the Fletcher group)', '82.5% (for the single‐channel group (P = 0.289))'], 'locoregional failure-free survival': ['78.9% (for the Fletcher group)', '83.8% (for the single‐channel group (P = 0.369))'], 'cumulative rate of grade 3 bladder complications': ['Fletcher group']}"
30353049,"['Volume reduction (%) of arm lymphoedema at 7-month follow-up', 'Volume reduction after the end of treatment', 'Circumference of the arm', 'Patient experience of heaviness and tension', 'Health status']","['Clinical', 'Clinical', 'Clinical', 'Life impact', 'Clinical']","{'Volume reduction (%) of arm lymphoedema at 7-month follow-up': [], 'Volume reduction after the end of treatment': ['25.06 ml'], 'Circumference of the arm': ['∆:1.47 ml (95% CI, −0.77 to 3.70 cm)'], 'Patient experience of heaviness and tension': ['∆: −1.36 (95% CI, −2.38 to −0.35)', ""{'Group': 'T+MLD', 'Timepoint': '1 month after treatment', 'Statistical Measure': 'mean change', 'Value': 1.4, '95% CI': '-2.3 to -0.6', 'p-value': 0.001}"", ""{'Group': 'T+MLD', 'Timepoint': '1 month after treatment', 'Statistical Measure': 'mean difference', 'Value': -1.4, '95% CI': '-2.3 to -0.5', 'p-value': 0.003}"", ""{'Group': 'T−MLD', 'Timepoint': 'baseline to 1 month', 'Statistical Measure': 'mean difference', 'Value': -1.1, '95% CI': '-1.9 to -0.2', 'p-value': 0.02}"", ""{'Group': 'T−MLD', 'Timepoint': 'baseline to 1 month', 'Statistical Measure': 'mean change', 'Value': -1.3, '95% CI': '-2.1 to -0.4', 'p-value': 0.005}""], 'Health status': ['EQ-5D index score stratified on age groups <60 years (all p < 0.005)', 'T+MLD reported less problems with usual activities (p = 0.014) after 1 month', 'T−MLD reported less pain (p = 0.042)', 'At follow-up, none of the health-related outcomes improved significantly.']}"
30345030,"['visualization of both ovaries (cVR-Both)', 'intra-class correlation coefficient (ICC) for left and right ovary confirmation']","['Clinical', 'Clinical']",{'visualization of both ovaries (cVR-Both)': ['67.2% (95% CI: 63.9-70.5%)']}
30343626,"['overall and distal CRC incidence', 'overall and distal CRC mortality', 'numbers of screen-detected neoplasia']","['Clinical', 'Mortality', 'Clinical']","{'overall and distal CRC incidence': ['141.0 per 100,000 person-years in control group (95% CI: 132.8–149.7), 112.6 per 100,000 person-years in intervention group (95% CI: 99.3–127.7)', 'HR=0.80, 95% CI: 0.70–0.92', 'consistent with the observed trial results', 'significantly overestimated in year 1 and 10', 'significantly underestimated in year 8', 'RRs for overall CRC incidence and distal CRC incidence of the adherers to screening relative to the control group', 'HR: 0.84', '11% lower than in the Norwegian CRC registry', 'yearly RRs not within confidence intervals'], 'overall and distal CRC mortality': ['31.4 per 100,000 person-years (95% CI: 24.8–39.7)', '43.1 per 100,000 person-years (95% CI: 38.7–48.1)', 'consistent with the observed trial results', 'significant difference in the final years', 'HR: 0.72', 'HR: 0.66', 'observed yearly RRs fluctuate', '95% confidence interval'], 'numbers of screen-detected neoplasia': ['2210 (95% CI: 2123–2297)', 'The predicted number of screen-detected CRCs was also similar to the number found in the NORCCAP trial but the model significantly underestimated the number of screen-detected adenomas.', 'lower than the actual number of screen-detected adenomas in the NORCCAP trial']}"
30343455,"['Hamilton Depression Rating Scale', 'Other validated patient-reported outcomes for depression and quality of life']","['Clinical', 'Life impact']","{'Other validated patient-reported outcomes for depression and quality of life': ['Average pain score was 0.36 (1.49) on a scale of 0–10', 'mean ECOG Performance score was 0.15 (0.36) on a scale of 0–4', 'Response rates were 35% for IPT, 50% for PST and 31% for BSP (χ2=2.20, df=2, p=0.33); corresponding remission rates were 25%, 30% and 27% (χ2=0.13, df=2, p=0.94)'], 'Hamilton Depression Rating Scale': ['d=1.07 for IPT, 0.98 for PST and 0.91 for BSP at week 12']}"
30340503,"['patient-reported outcomes', 'physical fitness', 'bone health', 'quality of life', 'fatigue', 'depression', 'estimated VO2max', 'muscular strength', 'osteocalcin', 'BSAP']","['Life impact', 'Life impact', 'Clinical', 'Life impact', 'Clinical', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","{'physical fitness': ['9.6 ± 6.8 min'], 'patient-reported outcomes': ['significantly improved', 'between group difference: 14.7, 95% CI: 18.2, 9.7; p < 0.001'], 'fatigue': ['significantly reduced', 'p ≤ 0.01'], 'depression': ['significantly reduced', 'p ≤ 0.01']}"
30334959,"['3-year tumor recurrence-free survival rate', 'frequent urination and micturition pain', 'no severe AEs (Grade 3 or more)', 'tumor recurrence']","['Clinical', 'Adverse Event', 'Adverse Event', 'Clinical']","{'no severe AEs (Grade 3 or more)': ['113 patients were randomized to Group A (n = 57) or Group B (n = 56). In Group B, 5 patients did not complete all the 8 scheduled instillations due to AEs', 'Severe AEs (Grade 3 or above) did not occur in any of the patients.'], '3-year tumor recurrence-free survival rate': ['69.3% for Group A', '85.3% for Group B'], 'frequent urination and micturition pain': ['Commonly reported AEs']}"
30325021,"['159 serum metabolite measures', 'prostate cancer risk']","['Clinical', 'Clinical']","{'159 serum metabolite measures': ['no clear differences', 'by‐arm differences in glycine, phenylalanine, alanine, glycoprotein acetyls and a number of fatty acid metabolic measures', 'decreases in glycolysis-related metabolites glucose, lactate and pyruvate; decreases in branched-chain amino acid measures isoleucine, leucine and valine', ""{'valine': '-0.62; 95% CI = -1.03, -0.20; p = 0.004'}"", ""{'acetate': '0.69; 95% CI = 0.24, 1.15; p = 0.003'}"", ""{'pyruvate': '-0.56; 95% CI = -0.95, -0.16; p = 0.006'}"", ""{'docosahexaenoic acid (DHA)': '-0.50; 95% CI = -0.85, -0.14; p = 0.006'}"", ""{'diacylglycerol': '-0.59; 95% CI = -1.01, -0.18; p = 0.006'}"", 'decreased valine', 'increased acetate', 'decreased pyruvate', 'slope = 0.57 ± 0.03', 'R2 = 0.76', 'PUFA: FA ratio reduction (β = 0.66; 95% CI = 0.273, 1.049; p = 0.001)', 'Omega‐6 fatty acids change (β = 0.59; 95% CI = 0.19, 1.00; p = 0.005)', 'Monounsaturated fatty acids change (β = −0.58; 95% CI = −0.99, −0.17; p = 0.006)', 'Glycine reduction (β = −0.58; 95% CI = −0.98, −0.18; p = 0.005)', 'acetate (β = 2.13; p = 0.006)', 'pyruvate (β = −1.90; p = 0.009)', 'valine (β = −1.79; p = 0.023)', 'diacylglycerol (β = −1.81; p = 0.026)', 'DHA (p = 0.097)', 'Alanine was also lower (β = −1.55; p = 0.015)', 'Acetate, pyruvate, valine, diacylglycerol and DHA', 'Glycine', '17 genetic variants associated with our metabolites of interest at genome‐wide significance (p < 5 × 10−8 for the allelic effect of each SNP on the exposure)'], 'prostate cancer risk': ['odds ratio: 1.29 (95% CI: 1.03, 1.62; p = 0.027), Bonferroni corrected p value = 0.05/4 = 0.0125']}"
30318772,"['overall survival (OS)', 'progression-free survival', 'toxicity rates']","['Mortality', 'Mortality', 'Adverse Event']","{'overall survival (OS)': ['HR: 0.61, 95% CI: 0.5‐0.74, P < 0.001, median absolute benefit 1.3 months', 'HR: 0.51, 95% CI: 0.4‐0.65, P < 0.001, median absolute benefit 3.7 months', 'HR: 0.65, 95% CI: 0.53‐0.8, P < 0.001', 'HR: 0.33, 95% CI: 0.16‐0.68, P = 0.003; median absolute benefit, 12.5 months'], 'progression-free survival': ['HR: 0.80, 95% CI: 0.67‐0.95, P = 0.01, median absolute benefit 1.6 months', 'OR: 0.80 per H allele, 95% CI: 0.71‐0.9, P < 0.001', 'HR: 0.63, 95% CI: 0.5‐0.8, P < 0.001, median absolute benefit 3.3 months', 'HR: 0.87, 95% CI: 0.71‐1.05, P = 0.14'], 'toxicity rates': ['P = 0.13 (FCGR2A), P = 0.64 (FCGR3A)']}"
30318515,"['overall survival', 'median survival times', 'tolerability', 'biomarkers']","['Mortality', 'Mortality', 'Adverse Event', 'Clinical']","{'overall survival': ['84 deaths in galunisertib group, 48 deaths in placebo group', '7.1 months for placebo group', '8.9 months for galunisertib group', '7.4 months', '95% CrI: 5.7–10.0', '10.9 months (galunisertib) vs 7.2 months (placebo)', 'HR of 0.84 in patients with low TGF-β1 levels', '10.1 months (95% CI: 8.2–12.7) for TGF-β responders', '6.7 months (95% CI: 3.6–10.2) for TGF-β non-responders', 'worse'], 'tolerability': ['dose omissions: galunisertib (74), gemcitabine (96); dose reductions: galunisertib (14), gemcitabine (68); dose discontinuations: galunisertib (34); dose delays: gemcitabine (30)', 'grade 3–4 neutrophil count decreased: 36 [35%] of 103 vs. 14 [27%] of 52', 'grade 3–4 fatigue: 13 [13%] of 103 vs. 5 [10%] of 52', 'grade 3–4 anaemia: 12 [12%] of 103 vs. 9 [17%] of 52', 'grade 3–4 platelet count decreased: 8 [8%] of 103 vs. 6 [12%] of 52'], 'median survival times': ['7.1 months (placebo)', '8.9 months (galunisertib)', '7.4 months', '10.1 months for TGF-β responders', '6.7 months for TGF-β non-responders'], 'biomarkers': ['TGF-β1', 'interferon-gamma induced protein 10 (IP-10)', 'follicle-stimulating hormone', 'macrophage inflammatory protein-1 α (MIP-1α)', 'plasminogen activator inhibitor 1']}"
30316827,"['Progression-free survival', 'Late toxicities', 'bladder toxicity', 'gastrointestinal adverse events']","['Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event']","{'Progression-free survival': ['calculated using the Phoenix definition', '28.4% (95% CI 23.3-33.6)', 'HR of 1.21 (95% CI 1.02-1.43; p=0.027) for NHT plus PORT compared to NHT plus WPRT', 'HR of 1.21 (1.03-1.43; p=0.025) for WPRT plus AHT compared to NHT plus WPRT', 'HR of 0.93 (0.78-1.10; p=0.39) for PORT plus AHT compared to NHT plus WPRT', 'significantly different across all timepoints compared with those who received NHT plus PORT (p=0·023)', 'compared with those who received WPRT plus AHT (p=0·017); the p values in both of these pairwise comparisons favoured the NHT plus WPRT group', 'WPRT plus AHT had a significantly different compared with PORT plus AHT (p=0·0024)', 'NHT plus PORT compared with PORT plus AHT (p=0·0032); the p values in both of these pairwise comparisons favoured the PORT plus AHT group'], 'gastrointestinal adverse events': ['9% (28 of 316 patients) in the NHT plus WPRT group, 8% (24 of 311) in the NHT plus PORT group, 7% (21 of 317) in the WPRT plus AHT group, and 5% (16 of 314) in the PORT plus AHT group', 'five (2%)', 'ten (3%)', 'seven (2%)'], 'Late toxicities': [], 'bladder toxicity': []}"
30301829,"['prostate-specific antigen (PSA) 50 response rates', 'progression-free survival (PFS)', 'nuclear AR']","['Clinical', 'Mortality', 'Clinical']","{'nuclear AR': [""{'AR-V7+/ARv567es-': '-1.9%', 'AR-V7-/ARv567es+': '-26.7%', 'Double negative': '-12.9%', 'AR-V7+ (regardless of ARv567es status)': '-0.4%', 'p-value for trend': '0.08', 'p-value comparison AR-V7+ vs AR-V7-': '0.0023'}""], 'prostate-specific antigen (PSA) 50 response rates': [""{'AR-V7-': '61.1%', 'AR-V7+': '36.1%', 'p-value': '0.09'}"", ""{'AR-V7-': '77.8%', 'AR-V7+': '58.3%', 'p-value': '0.23'}"", '38% of ARv567es+ patients', '67% of ARv567es- patients'], 'progression-free survival (PFS)': ['Median PFS for double negative patients: 16.6 months; AR-V7-/ARv567es+: 11.2 months, p = 0.18; AR-V7+: 8.5 months, p = 0.004; hazard ratio for AR-V7- vs AR-V7+: 0.38, p = 0.01; trend across groups: p = 0.0013; ARv567es vs ARv567es+: 12.7 vs 7.3 months, hazard ratio = 0.37, p = 0.02']}"
30300367,"['associations of biomarkers with prostate cancer', 'predictive performance', 'accuracy for predicting the outcome on prostate biopsy', 'changes in PCA3, T2:ERG, and PSA']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","{'associations of biomarkers with prostate cancer': ['PSA at baseline had a slight discriminative ability (AUC 58%, p = 0.04)', 'baseline and 90-day measures of PCA3 and T2:ERG were moderately predictive of cancer with AUCs ranging from 62 to 65% (p-values < 0.002 to <-0.001, Table 2)', 'In the placebo arm, baseline and 90-day AUCs of PCA3 were higher than the finasteride arm (84% and 80%, respectively, comparison to the finasteride arm, 65% and 63%, respectively)', 'As in the finasteride arm, the 90-day change in PCA3 and T2:ERG did not predict cancer status (AUC ~50%, p = 0.55 and p = 0.46, respectively)', 'The AUCs of baseline T2:ERG (62%) and 90-day T2:ERG (63%) were no better on finasteride than on placebo (both p-values > 0.05), and in the placebo arm, only the 90-day T2:ERG AUC was significantly different than 50% (p = 0.02)', 'PCA3 and T2:ERG all contributed independent information for prostate cancer detection on finasteride', '-25 [-47, +9]%, -26 [-50, +8] %, and -25 [-48, +9] % (all p-values<0.001)'], 'predictive performance': ['90-day PSA did not predict cancer status (AUC 53%, p = 0.43)', 'AUCs ranging from 62 to 65% (p-values < 0.002 to <-0.001, Table 2)', 'baseline and 90-day AUCs of PCA3 were higher than the finasteride arm (84% and 80%, respectively, comparison to the finasteride arm, 65% and 63%, respectively)', 'AUC ~50%, p = 0.55 and p = 0.46, respectively', '62% and 63% were no better on finasteride than on placebo (both p-values > 0.05), and in the placebo arm, only the 90-day T2:ERG AUC was significantly different than 50% (p = 0.02)'], 'accuracy for predicting the outcome on prostate biopsy': ['AUCs ranging from 62 to 65% (p-values < 0.002 to <-0.001, Table 2)', 'baseline and 90-day AUCs of PCA3 were higher than the finasteride arm (84% and 80%, respectively, comparison to the finasteride arm, 65% and 63%, respectively)', 'AUC ~50%, p = 0.55 and p = 0.46, respectively', '62% and 63% were no better on finasteride than on placebo (both p-values > 0.05), and in the placebo arm, only the 90-day T2:ERG AUC was significantly different than 50% (p = 0.02)'], 'changes in PCA3, T2:ERG, and PSA': ['90-day change in PCA3 and T2:ERG did not discriminate men with and without cancer (AUC 51% (95% CI 43 to 60%, p = 0.72) and 48% (95% CI 44 to 60%), respectively,', 'rates of change did not (all p-values < 0.01)', '-51%, [–60, –38]%', '-47%, [–59, –37 ] %', '49%, [–60, –37] %']}"
30298469,['overall survival (OS)'],['Mortality'],"{'overall survival (OS)': ['median OS: 13.0 months', '1-year survival rate: 52.7%', '95% confidence interval for median OS: 11.0-13.9', 'independent predictors: poor performance status (PS), increased serum lactate dehydrogenase (LDH) level, and elevated neutrophil-to-lymphocyte ratio (NLR)', 'good-prognosis group: median OS time 16.3 months (95% CI 13.2–23.1)', 'intermediate-prognosis group: median OS time 11.3 months (95% CI 9.2–13.4)', 'poor-prognosis group: median OS time 5.3 months (95% CI 3.0–7.1); good vs intermediate prognosis groups, P = 0.0002; intermediate vs poor prognosis groups, P = 0.005', '15.8 months (95% CI 11.5–20.5) in good-prognosis group', '10.8 months (95% CI 8.9–14.4) in intermediate-prognosis group', '3.6 months (95% CI 2.1–7.0) in poor-prognosis group', 'P = 0.04 between good- vs. intermediate-prognosis groups', 'P < 0.0001 between intermediate- vs. poor-prognosis groups']}"
30296337,"['Primary outcomes: feasibility and initial efficacy on anxiety and depression', 'Secondary outcomes: demoralization, coping, loneliness, and spiritual well-being']","['Clinical', 'Life impact']","{'Primary outcomes: feasibility and initial efficacy on anxiety and depression': ['81.4% (48 out of 59) of participants completed the full number of sessions and the final study assessment, indicating adequate retention and assessment per our a priori cut-off of 80% as a benchmark for feasibility.', 'Treatment fidelity was 88.5% or higher for all sessions (88.5–94.6%), again exceeding our threshold of 80% as an indication of high fidelity.', ""{'Depression': 'lower mean HADS depression scores (d = 0.58 [CI:0.04–1.12], P = 0.01)'}"", 'The effect on total HADS scores remained consistent (d = 0.42 [CI: –0.16 to 0.99], P = 0.09). The CARE arm trended towards reporting lower anxiety scores compared with ESWC (d = 0.41 [CI: –0.25 to 0.81], P = 0.10), while the observed differences in HADS depression scores lessened (d = 0.28 [CI: –0.30 to 0.85], P = 0.20)'], 'Secondary outcomes: demoralization, coping, loneliness, and spiritual well-being': [""{'Loneliness': 'reduced loneliness (d = 0.19 [CI: –0.34 to 0.72], P = 0.21)', 'Disheartenment': 'disheartenment (d = 0.28 [CI: –0.25 to 0.08], P = 0.12)', 'Sense of failure': 'sense of failure (d = 0.26 [CI: –0.27 to 0.79], P = 0.19)', 'Meaning': 'increased meaning (d = 0.22 [CI: –0.75 to 0.31], P = 0.27)', 'Coping-planning': 'improved coping-planning (d = 0.30 [CI: –0.83 to 0.24], P = 0.18)'}"", 'Effect sizes (d) also increased for disheart-enment (d = 0.33 [CI: –0.25 to 0.91], P = 0.09) and meaning (d = 0.48 [CI: –1.06 to 0.11], P = 0.04), indicating greater improvement for participants in the CARE arm across constructs. The effects on coping-planning did not persist (d = 0.04 [CI: –0.61 to 0.54], P = 0.88), and those in the ESWC arm maintained their increases in active coping (d = –0.43 [CI: –0.15 to 1.01], P = .10) relative to those in the CARE arm.']}"
